Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Tipo de medicamento;Sí o no;Total
Ambos sexos;Total;Madrid (Comunidad de);Tranquilizantes, relajantes, pastillas para dormir;No;90,78
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para la alergia;Sí;4,17
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para la alergia;No;95,83
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para el reuma;Sí;2,12
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para el reuma;No;97,88
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para el corazón;Sí;4,71
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para el corazón;No;95,29
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para la tensión arterial;Sí;16,35
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para la tensión arterial;No;83,65
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para el estómago y/o alteraciones digestivas;Sí;7,37
Ambos sexos;Total;Madrid (Comunidad de);Medicinas para el estómago y/o alteraciones digestivas;No;92,63
Ambos sexos;Total;Madrid (Comunidad de);Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Antidepresivos, estimulantes;Sí;3,09
Ambos sexos;Total;Madrid (Comunidad de);Antidepresivos, estimulantes;No;96,91
Ambos sexos;Total;Madrid (Comunidad de);Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Madrid (Comunidad de);Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;Madrid (Comunidad de);Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;Madrid (Comunidad de);Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Madrid (Comunidad de);Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;Madrid (Comunidad de);Hormonas para la menopausia;No;0,00
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para el colesterol;Sí;11,43
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para el colesterol;No;88,57
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para la diabetes;Sí;6,14
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para la diabetes;No;93,86
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para el tiroides;Sí;5,09
Ambos sexos;Total;Madrid (Comunidad de);Medicamentos para el tiroides;No;94,91
Ambos sexos;Total;Madrid (Comunidad de);Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Otros medicamentos;Sí;13,92
Ambos sexos;Total;Madrid (Comunidad de);Otros medicamentos;No;86,08
Ambos sexos;Total;Murcia (Región de);Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Medicinas para el catarro, gripe, garganta, bronquios;Sí;6,41
Ambos sexos;Total;Murcia (Región de);Medicinas para el catarro, gripe, garganta, bronquios;No;93,59
Ambos sexos;Total;Murcia (Región de);Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Medicinas para el dolor;Sí;33,12
Ambos sexos;Total;Murcia (Región de);Medicinas para el dolor;No;66,88
Ambos sexos;Total;Murcia (Región de);Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Medicinas para bajar la fiebre;Sí;1,20
Ambos sexos;Total;Murcia (Región de);Medicinas para bajar la fiebre;No;98,80
Ambos sexos;Total;Murcia (Región de);Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Reconstituyentes (vitaminas, minerales, tónicos);Sí;4,74
Ambos sexos;Total;Murcia (Región de);Reconstituyentes (vitaminas, minerales, tónicos);No;95,26
Ambos sexos;Total;Murcia (Región de);Laxantes;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Laxantes;Sí;1,96
Ambos sexos;Total;Murcia (Región de);Laxantes;No;98,04
Ambos sexos;Total;Murcia (Región de);Antibióticos;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Antibióticos;Sí;2,39
Ambos sexos;Total;Murcia (Región de);Antibióticos;No;97,61
Ambos sexos;Total;Murcia (Región de);Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Tranquilizantes, relajantes, pastillas para dormir;Sí;13,51
Ambos sexos;Total;Murcia (Región de);Tranquilizantes, relajantes, pastillas para dormir;No;86,49
Ambos sexos;Total;Murcia (Región de);Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Medicamentos para la alergia;Sí;4,36
Ambos sexos;Total;Murcia (Región de);Medicamentos para la alergia;No;95,64
Ambos sexos;Total;Murcia (Región de);Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Medicinas para el reuma;Sí;2,52
Ambos sexos;Total;Murcia (Región de);Medicinas para el reuma;No;97,48
Ambos sexos;Total;Murcia (Región de);Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Medicinas para el corazón;Sí;4,64
Ambos sexos;Total;Murcia (Región de);Medicinas para el corazón;No;95,36
Ambos sexos;Total;Murcia (Región de);Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Medicinas para la tensión arterial;Sí;19,83
Ambos sexos;Total;Murcia (Región de);Medicinas para la tensión arterial;No;80,17
Ambos sexos;Total;Murcia (Región de);Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Medicinas para el estómago y/o alteraciones digestivas;Sí;12,43
Ambos sexos;Total;Murcia (Región de);Medicinas para el estómago y/o alteraciones digestivas;No;87,57
Ambos sexos;Total;Murcia (Región de);Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Antidepresivos, estimulantes;Sí;6,42
Ambos sexos;Total;Murcia (Región de);Antidepresivos, estimulantes;No;93,58
Ambos sexos;Total;Murcia (Región de);Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Murcia (Región de);Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;Murcia (Región de);Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;Murcia (Región de);Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Murcia (Región de);Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;Murcia (Región de);Hormonas para la menopausia;No;0,00
Ambos sexos;Total;Murcia (Región de);Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Medicamentos para el colesterol;Sí;13,76
Ambos sexos;Total;Murcia (Región de);Medicamentos para el colesterol;No;86,24
Ambos sexos;Total;Murcia (Región de);Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Medicamentos para la diabetes;Sí;9,55
Ambos sexos;Total;Murcia (Región de);Medicamentos para la diabetes;No;90,45
Ambos sexos;Total;Murcia (Región de);Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Medicamentos para el tiroides;Sí;6,66
Ambos sexos;Total;Murcia (Región de);Medicamentos para el tiroides;No;93,34
Ambos sexos;Total;Murcia (Región de);Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Otros medicamentos;Sí;12,63
Ambos sexos;Total;Murcia (Región de);Otros medicamentos;No;87,37
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el catarro, gripe, garganta, bronquios;Sí;7,96
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el catarro, gripe, garganta, bronquios;No;92,04
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el dolor;Sí;32,03
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el dolor;No;67,97
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para bajar la fiebre;Sí;1,40
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para bajar la fiebre;No;98,60
Ambos sexos;Total;Navarra (Comunidad Foral de);Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Reconstituyentes (vitaminas, minerales, tónicos);Sí;4,45
Ambos sexos;Total;Navarra (Comunidad Foral de);Reconstituyentes (vitaminas, minerales, tónicos);No;95,55
Ambos sexos;Total;Navarra (Comunidad Foral de);Laxantes;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Laxantes;Sí;1,12
Ambos sexos;Total;Navarra (Comunidad Foral de);Laxantes;No;98,88
Ambos sexos;Total;Navarra (Comunidad Foral de);Antibióticos;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Antibióticos;Sí;3,43
Ambos sexos;Total;Navarra (Comunidad Foral de);Antibióticos;No;96,57
Ambos sexos;Total;Navarra (Comunidad Foral de);Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Tranquilizantes, relajantes, pastillas para dormir;Sí;8,81
Ambos sexos;Total;Navarra (Comunidad Foral de);Tranquilizantes, relajantes, pastillas para dormir;No;91,19
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para la alergia;Sí;1,16
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para la alergia;No;98,84
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el reuma;Sí;0,94
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el reuma;No;99,06
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el corazón;Sí;6,56
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el corazón;No;93,44
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para la tensión arterial;Sí;14,44
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para la tensión arterial;No;85,56
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el estómago y/o alteraciones digestivas;Sí;11,25
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicinas para el estómago y/o alteraciones digestivas;No;88,75
Ambos sexos;Total;Navarra (Comunidad Foral de);Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Antidepresivos, estimulantes;Sí;3,34
Ambos sexos;Total;Navarra (Comunidad Foral de);Antidepresivos, estimulantes;No;96,66
Ambos sexos;Total;Navarra (Comunidad Foral de);Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Hormonas para la menopausia;No;0,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para el colesterol;Sí;11,69
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para el colesterol;No;88,31
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para la diabetes;Sí;5,30
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para la diabetes;No;94,70
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para el tiroides;Sí;3,97
Ambos sexos;Total;Navarra (Comunidad Foral de);Medicamentos para el tiroides;No;96,03
Ambos sexos;Total;Navarra (Comunidad Foral de);Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Otros medicamentos;Sí;11,41
Ambos sexos;Total;Navarra (Comunidad Foral de);Otros medicamentos;No;88,59
Ambos sexos;Total;País Vasco;Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;País Vasco;Medicinas para el catarro, gripe, garganta, bronquios;Sí;8,38
Ambos sexos;Total;País Vasco;Medicinas para el catarro, gripe, garganta, bronquios;No;91,62
Ambos sexos;Total;País Vasco;Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;País Vasco;Medicinas para el dolor;Sí;28,64
Ambos sexos;Total;País Vasco;Medicinas para el dolor;No;71,36
Ambos sexos;Total;País Vasco;Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;País Vasco;Medicinas para bajar la fiebre;Sí;2,11
Ambos sexos;Total;País Vasco;Medicinas para bajar la fiebre;No;97,89
Ambos sexos;Total;País Vasco;Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;País Vasco;Reconstituyentes (vitaminas, minerales, tónicos);Sí;6,77
Ambos sexos;Total;País Vasco;Reconstituyentes (vitaminas, minerales, tónicos);No;93,23
Ambos sexos;Total;País Vasco;Laxantes;TOTAL;100,00
Ambos sexos;Total;País Vasco;Laxantes;Sí;1,91
Ambos sexos;Total;País Vasco;Laxantes;No;98,09
Ambos sexos;Total;País Vasco;Antibióticos;TOTAL;100,00
Ambos sexos;Total;País Vasco;Antibióticos;Sí;3,88
Ambos sexos;Total;País Vasco;Antibióticos;No;96,12
Ambos sexos;Total;País Vasco;Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;País Vasco;Tranquilizantes, relajantes, pastillas para dormir;Sí;12,59
Ambos sexos;Total;País Vasco;Tranquilizantes, relajantes, pastillas para dormir;No;87,41
Ambos sexos;Total;País Vasco;Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;País Vasco;Medicamentos para la alergia;Sí;2,35
Ambos sexos;Total;País Vasco;Medicamentos para la alergia;No;97,65
Ambos sexos;Total;País Vasco;Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;País Vasco;Medicinas para el reuma;Sí;0,84
Ambos sexos;Total;País Vasco;Medicinas para el reuma;No;99,16
Ambos sexos;Total;País Vasco;Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;País Vasco;Medicinas para el corazón;Sí;6,55
Ambos sexos;Total;País Vasco;Medicinas para el corazón;No;93,45
Ambos sexos;Total;País Vasco;Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;País Vasco;Medicinas para la tensión arterial;Sí;18,43
Ambos sexos;Total;País Vasco;Medicinas para la tensión arterial;No;81,57
Ambos sexos;Total;País Vasco;Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;País Vasco;Medicinas para el estómago y/o alteraciones digestivas;Sí;10,08
Ambos sexos;Total;País Vasco;Medicinas para el estómago y/o alteraciones digestivas;No;89,92
Ambos sexos;Total;País Vasco;Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;País Vasco;Antidepresivos, estimulantes;Sí;4,13
Ambos sexos;Total;País Vasco;Antidepresivos, estimulantes;No;95,87
Ambos sexos;Total;País Vasco;Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;País Vasco;Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;País Vasco;Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;País Vasco;Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;País Vasco;Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;País Vasco;Hormonas para la menopausia;No;0,00
Ambos sexos;Total;País Vasco;Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;País Vasco;Medicamentos para el colesterol;Sí;12,17
Ambos sexos;Total;País Vasco;Medicamentos para el colesterol;No;87,83
Ambos sexos;Total;País Vasco;Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;País Vasco;Medicamentos para la diabetes;Sí;6,25
Ambos sexos;Total;País Vasco;Medicamentos para la diabetes;No;93,75
Ambos sexos;Total;País Vasco;Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;País Vasco;Medicamentos para el tiroides;Sí;4,91
Ambos sexos;Total;País Vasco;Medicamentos para el tiroides;No;95,09
Ambos sexos;Total;País Vasco;Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;País Vasco;Otros medicamentos;Sí;19,55
Ambos sexos;Total;País Vasco;Otros medicamentos;No;80,45
Ambos sexos;Total;Rioja (La);Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Medicinas para el catarro, gripe, garganta, bronquios;Sí;7,61
Ambos sexos;Total;Rioja (La);Medicinas para el catarro, gripe, garganta, bronquios;No;92,39
Ambos sexos;Total;Rioja (La);Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Medicinas para el dolor;Sí;31,60
Ambos sexos;Total;Rioja (La);Medicinas para el dolor;No;68,40
Ambos sexos;Total;Rioja (La);Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Medicinas para bajar la fiebre;Sí;2,75
Ambos sexos;Total;Rioja (La);Medicinas para bajar la fiebre;No;97,25
Ambos sexos;Total;Rioja (La);Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Rioja (La);Reconstituyentes (vitaminas, minerales, tónicos);Sí;5,29
Ambos sexos;Total;Rioja (La);Reconstituyentes (vitaminas, minerales, tónicos);No;94,71
Ambos sexos;Total;Rioja (La);Laxantes;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Laxantes;Sí;2,04
Ambos sexos;Total;Rioja (La);Laxantes;No;97,96
Ambos sexos;Total;Rioja (La);Antibióticos;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Antibióticos;Sí;4,88
Ambos sexos;Total;Rioja (La);Antibióticos;No;95,12
Ambos sexos;Total;Rioja (La);Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Tranquilizantes, relajantes, pastillas para dormir;Sí;9,06
Ambos sexos;Total;Rioja (La);Tranquilizantes, relajantes, pastillas para dormir;No;90,94
Ambos sexos;Total;Rioja (La);Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Medicamentos para la alergia;Sí;3,05
Ambos sexos;Total;Rioja (La);Medicamentos para la alergia;No;96,95
Ambos sexos;Total;Rioja (La);Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Medicinas para el reuma;Sí;0,39
Ambos sexos;Total;Rioja (La);Medicinas para el reuma;No;99,61
Ambos sexos;Total;Rioja (La);Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Medicinas para el corazón;Sí;6,39
Ambos sexos;Total;Rioja (La);Medicinas para el corazón;No;93,61
Ambos sexos;Total;Rioja (La);Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Medicinas para la tensión arterial;Sí;15,93
Ambos sexos;Total;Rioja (La);Medicinas para la tensión arterial;No;84,07
Ambos sexos;Total;Rioja (La);Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Medicinas para el estómago y/o alteraciones digestivas;Sí;10,87
Ambos sexos;Total;Rioja (La);Medicinas para el estómago y/o alteraciones digestivas;No;89,13
Ambos sexos;Total;Rioja (La);Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Antidepresivos, estimulantes;Sí;4,18
Ambos sexos;Total;Rioja (La);Antidepresivos, estimulantes;No;95,82
Ambos sexos;Total;Rioja (La);Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Rioja (La);Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;Rioja (La);Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;Rioja (La);Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Rioja (La);Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;Rioja (La);Hormonas para la menopausia;No;0,00
Ambos sexos;Total;Rioja (La);Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Medicamentos para el colesterol;Sí;13,62
Ambos sexos;Total;Rioja (La);Medicamentos para el colesterol;No;86,38
Ambos sexos;Total;Rioja (La);Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Medicamentos para la diabetes;Sí;5,28
Ambos sexos;Total;Rioja (La);Medicamentos para la diabetes;No;94,72
Ambos sexos;Total;Rioja (La);Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Medicamentos para el tiroides;Sí;5,86
Ambos sexos;Total;Rioja (La);Medicamentos para el tiroides;No;94,14
Ambos sexos;Total;Rioja (La);Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Rioja (La);Otros medicamentos;Sí;13,05
Ambos sexos;Total;Rioja (La);Otros medicamentos;No;86,95
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el catarro, gripe, garganta, bronquios;Sí;7,37
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el catarro, gripe, garganta, bronquios;No;92,63
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el dolor;Sí;21,66
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el dolor;No;78,34
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para bajar la fiebre;Sí;0,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para bajar la fiebre;No;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Reconstituyentes (vitaminas, minerales, tónicos);Sí;2,52
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Reconstituyentes (vitaminas, minerales, tónicos);No;97,48
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Laxantes;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Laxantes;Sí;0,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Laxantes;No;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Antibióticos;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Antibióticos;Sí;0,64
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Antibióticos;No;99,36
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Tranquilizantes, relajantes, pastillas para dormir;Sí;8,29
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Tranquilizantes, relajantes, pastillas para dormir;No;91,71
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicamentos para la alergia;Sí;3,75
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicamentos para la alergia;No;96,25
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el reuma;Sí;1,02
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el reuma;No;98,98
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el corazón;Sí;3,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el corazón;No;97,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para la tensión arterial;Sí;13,55
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para la tensión arterial;No;86,45
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el estómago y/o alteraciones digestivas;Sí;2,27
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicinas para el estómago y/o alteraciones digestivas;No;97,73
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Antidepresivos, estimulantes;Sí;1,43
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Antidepresivos, estimulantes;No;98,57
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Hormonas para la menopausia;No;0,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicamentos para el colesterol;Sí;10,40
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicamentos para el colesterol;No;89,60
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Medicamentos para la diabetes;Sí;5,60
